,equity
2023-07-14,100000.0
2023-07-17,100000.0
2023-07-18,100000.0
2023-07-19,100000.0
2023-07-20,100000.0
2023-07-21,100000.0
2023-07-24,100000.0
2023-07-25,100000.0
2023-07-26,100000.0
2023-07-27,100000.0
2023-07-28,101574.1364030838
2023-07-31,103176.6236000061
2023-08-01,103146.37958192825
2023-08-02,98057.1703505516
2023-08-03,97511.95233917236
2023-08-04,98688.90013313293
2023-08-07,99398.96702623367
2023-08-08,97653.87833786011
2023-08-09,95336.47763156891
2023-08-10,95198.6965546608
2023-08-11,94630.77811288834
2023-08-14,96472.81993198395
2023-08-15,94898.43164563179
2023-08-16,91173.50670719147
2023-08-17,89138.35263776779
2023-08-18,89636.96276903152
2023-08-21,91198.2053258419
2023-08-22,90519.60276961327
2023-08-23,91999.02228736877
2023-08-24,89243.2138133049
2023-08-25,90543.16886663437
2023-08-28,90959.72774124146
2023-08-29,93645.54799699783
2023-08-30,94925.94019412994
2023-08-31,95563.27784657478
2023-09-01,96317.68703818321
2023-09-05,95743.4997279644
2023-09-06,95038.76550483704
2023-09-07,94002.43238067627
2023-09-08,92942.0717754364
2023-09-11,94065.53790259361
2023-09-12,93249.47757911682
2023-09-13,92520.36371684074
2023-09-14,93761.44827485085
2023-09-15,91699.04029870033
2023-09-18,90989.95199394226
2023-09-19,90336.32584738731
2023-09-20,87973.74373602867
2023-09-21,85357.69261097908
2023-09-22,85041.77085518837
2023-09-25,84928.41848349571
2023-09-26,83864.33681225777
2023-09-27,84995.04975867271
2023-09-28,85499.58492016792
2023-09-29,86017.38622498512
2023-10-02,85057.26606798172
2023-10-03,82240.82872581482
2023-10-04,82739.52016878128
2023-10-05,81813.61884403229
2023-10-06,83777.03709411621
2023-10-09,84296.8229072094
2023-10-10,86196.66232204437
2023-10-11,85909.49705314636
2023-10-12,82650.4027493
2023-10-13,81949.29834389687
2023-10-16,83693.77989578247
2023-10-17,84556.53160476685
2023-10-18,82104.27839922905
2023-10-19,81335.17091536522
2023-10-20,79616.3662469387
2023-10-23,79900.54168605804
2023-10-24,81785.4423031807
2023-10-25,79254.19723010063
2023-10-26,77755.08491921425
2023-10-27,77144.44207668304
2023-10-30,77242.00906515121
2023-10-31,78125.12648582458
2023-11-01,77614.6804394722
2023-11-02,81481.21672916412
2023-11-03,84247.62779664993
2023-11-06,84680.70414018631
2023-11-07,85747.96437835693
2023-11-08,85432.44597864151
2023-11-09,83867.66690516472
2023-11-10,85150.42099809647
2023-11-13,85238.43920302391
2023-11-14,90349.2900967598
2023-11-15,91681.96634578705
2023-11-16,90437.34717154503
2023-11-17,91421.34597992897
2023-11-20,93117.44175100327
2023-11-21,91876.20502090454
2023-11-22,92455.45299482346
2023-11-24,92766.92692184448
2023-11-27,93294.15543413162
2023-11-28,94169.81631612778
2023-11-29,95470.05645608902
2023-11-30,95019.72068452835
2023-12-01,98269.77396202087
2023-12-04,100199.2408657074
2023-12-05,100248.08678245544
2023-12-06,99404.58051633835
2023-12-07,99883.34827375412
2023-12-08,100773.96278190613
2023-12-11,100671.45545101166
2023-12-12,101077.15283727646
2023-12-13,105331.87045907974
2023-12-14,107786.0925116539
2023-12-15,107472.61330509186
2023-12-18,107240.29354572296
2023-12-19,109812.53912496567
2023-12-20,106510.10389471054
2023-12-21,109175.74586677551
2023-12-22,108903.54677772522
2023-12-26,110200.20559597015
2023-12-27,111765.45328760147
2023-12-28,111710.84100723267
2023-12-29,109660.08696508408
2024-01-02,108328.7277264595
2024-01-03,104118.96752691269
2024-01-04,104497.84185028076
2024-01-05,104767.06259965897
2024-01-08,107723.83995294571
2024-01-09,106759.13607740402
2024-01-10,107457.87316656113
2024-01-11,105992.0271782875
2024-01-12,103755.79931879044
2024-01-16,103926.7177863121
2024-01-17,103780.081843853
2024-01-18,104359.6573767662
2024-01-19,104435.28260374069
2024-01-22,105609.59393644333
2024-01-23,105075.06110811234
2024-01-24,104387.66939306259
2024-01-25,104230.4294295311
