,equity
2023-07-14,100000.0
2023-07-17,100000.0
2023-07-18,100000.0
2023-07-19,100000.0
2023-07-20,100000.0
2023-07-21,100000.0
2023-07-24,100000.0
2023-07-25,100000.0
2023-07-26,100000.0
2023-07-27,100000.0
2023-07-28,99785.44241333008
2023-07-31,101099.61372756958
2023-08-01,101387.0685043335
2023-08-02,95328.73274230957
2023-08-03,94495.37102508545
2023-08-04,93630.75081253052
2023-08-07,93299.546169281
2023-08-08,91748.75807189941
2023-08-09,89108.59658050537
2023-08-10,88599.67143249512
2023-08-11,87892.80195236206
2023-08-14,90079.04167175293
2023-08-15,89155.10238647461
2023-08-16,87157.53969573975
2023-08-17,84971.48431015015
2023-08-18,83624.16563034058
2023-08-21,85902.23295974731
2023-08-22,85545.34283828735
2023-08-23,88376.42573165894
2023-08-24,84865.79607772827
2023-08-25,83231.86093902588
2023-08-28,83938.14183807373
2023-08-29,88127.43712615967
2023-08-30,88612.91563415527
2023-08-31,88452.01979446411
2023-09-01,88755.9068107605
2023-09-05,88655.00146484375
2023-09-06,87307.84702682495
2023-09-07,87066.03288650513
2023-09-08,86882.53718566895
2023-09-11,87433.84786224365
2023-09-12,86022.48895645142
2023-09-13,85324.49457931519
2023-09-14,85373.05758666992
2023-09-15,84035.57748031616
2023-09-18,83748.48722076416
2023-09-19,83250.57499313354
2023-09-20,81984.16167449951
2023-09-21,79579.865940094
2023-09-22,79718.77102661133
2023-09-25,80046.94606399536
2023-09-26,78258.3152923584
2023-09-27,79404.25782775879
2023-09-28,81184.22677993774
2023-09-29,81591.40704345703
2023-10-02,81923.18897247314
2023-10-03,79450.42720794678
2023-10-04,80105.15923309326
2023-10-05,80004.71715927124
2023-10-06,82285.14705276489
2023-10-09,82612.65788269043
2023-10-10,83102.57751464844
2023-10-11,83441.95749282837
2023-10-12,82724.98754119873
2023-10-13,80818.61666107178
2023-10-16,82854.97811889648
2023-10-17,82486.32761001587
2023-10-18,81038.76765823364
2023-10-19,80566.47694396973
2023-10-20,78952.02850723267
2023-10-23,78406.96812438965
2023-10-24,79497.23941040039
2023-10-25,76519.00631713867
2023-10-26,75936.98222351074
2023-10-27,76179.2127418518
2023-10-30,77028.08834457397
2023-10-31,77895.19651412964
2023-11-01,77573.97370147705
2023-11-02,78401.07967376709
2023-11-03,79323.0313987732
2023-11-06,78730.23164749146
2023-11-07,82365.1425819397
2023-11-08,82352.58833694458
2023-11-09,82948.46493911743
2023-11-10,84791.78590393066
2023-11-13,84600.32474517822
2023-11-14,85065.47651672363
2023-11-15,86136.8723449707
2023-11-16,84946.06646347046
2023-11-17,84996.53101348877
2023-11-20,87320.7899055481
2023-11-21,86299.65281677246
2023-11-22,86935.39505386353
2023-11-24,87823.04122543335
2023-11-27,86027.65492630005
2023-11-28,87154.09550094604
2023-11-29,88454.43770599365
2023-11-30,87497.0876159668
2023-12-01,90599.29705429077
2023-12-04,91642.55765533447
2023-12-05,93044.97825622559
2023-12-06,89285.16635894775
2023-12-07,89134.50954437256
2023-12-08,90577.96661758423
2023-12-11,89483.186252594
2023-12-12,89554.90253067017
2023-12-13,92623.61311721802
2023-12-14,93215.041431427
2023-12-15,92914.19946670532
2023-12-18,92438.19296646118
2023-12-19,92340.56509780884
2023-12-20,92022.66360855103
2023-12-21,93250.88473892212
2023-12-22,94835.37117385864
2023-12-26,94852.88005447388
2023-12-27,98255.51782608032
2023-12-28,97331.23096084595
2023-12-29,95877.85074234009
2024-01-02,92918.12050247192
2024-01-03,91202.16226577759
2024-01-04,90391.09059524536
2024-01-05,91045.65114212036
2024-01-08,92948.64159011841
2024-01-09,92989.45125198364
2024-01-10,93924.74136734009
2024-01-11,94251.53157424927
2024-01-12,93567.87077713013
2024-01-16,96707.37103652954
2024-01-17,95601.6404914856
2024-01-18,96088.11018753052
2024-01-19,97084.50928115845
2024-01-22,98533.2618598938
2024-01-23,98861.39966201782
2024-01-24,98827.75006484985
2024-01-25,98017.34009170532
